Draw,Date,Winning Number 1,2,3,4,5,6,Additional Number,From Last,Low,High,Odd,Even,1-10,11-20,21-30,31-40,41-50,Division 1 Winners,Division 1 Prize,Division 2 Winners,Division 2 Prize,Division 3 Winners,Division 3 Prize,Division 4 Winners,Division 4 Prize,Division 5 Winners,Division 5 Prize,Division 6 Winners,Division 6 Prize,Division 7 Winners,Division 7 Prize
4178,2026-04-30,2,6,7,31,35,39,15,,3,3,4,2,3,0,0,3,0,0,0.00,10,58957.00,223,1818.00,639,346.00,12572,50.00,18347,25.00,238219,10.00
4177,2026-04-27,3,11,13,22,28,48,21,3,4,2,3,3,1,2,2,0,1,0,0.00,3,120281.00,163,1522.00,420,323.00,8770,50.00,11113,25.00,159071,10.00
4176,2026-04-23,3,5,15,23,37,42,48,"3,5,23",4,2,5,1,2,1,1,1,1,0,0.00,1,258539.00,93,1912.00,190,511.00,5872,50.00,6058,25.00,112091,10.00
4175,2026-04-20,3,5,9,23,43,49,8,3,4,2,6,0,3,0,1,0,2,1,2980914.00,7,52360.00,201,1254.00,599,230.00,10508,50.00,18344,25.00,169422,10.00
4174,2026-04-16,1,3,6,12,21,41,18,,5,1,4,2,3,1,1,0,1,0,0.00,7,37292.00,200,898.00,525,187.00,8525,50.00,12013,25.00,136589,10.00
4173,2026-04-13,4,8,10,15,16,26,17,,5,1,1,5,3,2,1,0,0,5,253492.00,6,44473.00,328,560.00,600,167.00,11656,50.00,12567,25.00,154470,10.00
4172,2026-04-09,1,2,6,9,44,48,24,48,4,2,2,4,4,0,0,0,2,1,2971831.00,2,180831.00,170,1463.00,457,297.00,9522,50.00,12507,25.00,167901,10.00
4171,2026-04-06,14,23,29,30,39,48,12,"23,30",2,4,3,3,0,1,3,1,1,0,0.00,3,87997.00,83,2187.00,200,495.00,4101,50.00,6887,25.00,82196,10.00
4170,2026-04-02,1,7,8,23,30,33,21,30,4,2,4,2,3,0,2,1,0,1,5715685.00,8,72459.00,272,1466.00,656,332.00,15192,50.00,18226,25.00,263461,10.00
4169,2026-03-30,4,12,26,30,46,47,6,"4,46",2,4,1,5,1,1,2,0,2,0,0.00,8,45117.00,132,1880.00,512,265.00,7609,50.00,12874,25.00,143332,10.00
4168,2026-03-26,4,7,22,29,33,46,48,"4,33",3,3,3,3,2,0,2,1,1,0,0.00,2,131352.00,91,1985.00,204,483.00,5423,50.00,5993,25.00,106003,10.00
4167,2026-03-23,4,25,28,33,43,48,31,,1,5,3,3,1,0,2,1,2,1,1268070.00,2,133482.00,144,1275.00,213,470.00,5170,50.00,6841,25.00,92139,10.00
4166,2026-03-19,3,27,34,35,38,49,17,35,1,5,4,2,1,0,1,3,1,1,1259430.00,8,33143.00,91,2004.00,219,455.00,4889,50.00,6801,25.00,95352,10.00
4165,2026-03-16,6,14,18,22,35,36,13,,4,2,1,5,1,2,1,2,0,1,1300017.00,4,68422.00,120,1568.00,268,383.00,5764,50.00,8068,25.00,105180,10.00
4164,2026-03-12,12,25,33,40,43,46,21,40,1,5,3,3,0,1,1,2,2,1,3159706.00,2,187858.00,126,2051.00,359,393.00,6615,50.00,9751,25.00,130261,10.00
4163,2026-03-09,7,13,14,17,40,44,35,,4,2,3,3,1,3,0,1,1,0,0.00,3,96496.00,131,1520.00,283,384.00,6292,50.00,7924,25.00,113477,10.00
4162,2026-03-05,1,5,12,15,22,42,37,,5,1,3,3,2,2,1,0,1,2,1591682.00,8,48834.00,350,768.00,469,313.00,13969,50.00,10856,25.00,207982,10.00
4161,2026-03-02,6,8,28,37,41,49,40,,2,4,3,3,2,0,1,1,2,0,0.00,1,279517.00,124,1550.00,271,387.00,5908,50.00,7247,25.00,111023,10.00
4160,2026-02-27,5,9,20,23,45,46,7,,4,2,4,2,2,1,1,0,2,3,4000000.00,32,77132.00,1084,1566.00,3244,286.00,55832,50.00,86184,25.00,993740,10.00
4159,2026-02-23,24,26,30,32,37,47,2,,1,5,2,4,0,0,3,2,1,2,893718.00,2,188152.00,101,2562.00,312,453.00,6204,50.00,9583,25.00,122832,10.00
4158,2026-02-19,8,16,17,34,38,48,25,34,3,3,1,5,1,2,0,2,1,1,1474367.00,5,62079.00,144,1482.00,301,387.00,6849,50.00,8379,25.00,123806,10.00
4157,2026-02-16,13,24,28,34,37,44,29,,2,4,2,4,0,1,2,2,1,1,1487895.00,3,104414.00,122,1766.00,303,388.00,6113,50.00,8114,25.00,111326,10.00
4156,2026-02-13,10,15,25,43,45,49,4,"10,15,49",2,4,5,1,1,1,1,0,3,1,6188268.00,15,86853.00,499,1795.00,1292,379.00,26860,50.00,35730,25.00,492757,10.00
4155,2026-02-09,10,15,29,31,33,49,30,,2,4,5,1,1,1,1,2,1,2,3263539.00,3,231713.00,443,1079.00,660,395.00,15654,50.00,21400,25.00,277069,10.00
4154,2026-02-05,6,18,24,26,36,48,5,,3,3,0,6,1,1,2,1,1,0,0.00,2,200575.00,224,1232.00,468,322.00,9237,50.00,13654,25.00,154628,10.00
4153,2026-02-02,4,19,40,41,46,47,20,,2,4,3,3,1,1,0,1,3,0,0.00,4,69460.00,89,2147.00,225,464.00,5139,50.00,6609,25.00,91256,10.00
4152,2026-01-29,11,13,16,31,42,48,21,"11,13",3,3,3,3,0,3,0,1,2,6,2254062.00,13,123040.00,641,1716.00,1592,377.00,31821,50.00,44984,25.00,591751,10.00
4151,2026-01-26,10,11,13,26,32,39,44,32,3,3,3,3,1,2,1,2,0,0,0.00,11,56742.00,278,1544.00,617,380.00,14163,50.00,15955,25.00,259857,10.00
4150,2026-01-22,6,22,27,32,37,44,19,,2,4,2,4,1,0,2,2,1,0,0.00,5,71065.00,166,1472.00,412,324.00,7378,50.00,11070,25.00,131725,10.00
4149,2026-01-19,4,11,21,23,31,35,48,35,4,2,5,1,1,1,2,2,0,0,0.00,4,67060.00,106,1740.00,234,430.00,6086,50.00,6224,25.00,111119,10.00
4148,2026-01-15,16,32,34,35,36,41,14,"16,35",1,5,2,4,0,1,0,4,1,1,1250153.00,3,87731.00,89,2034.00,233,424.00,4688,50.00,6400,25.00,83224,10.00
4147,2026-01-12,1,9,16,18,35,43,12,,4,2,4,2,2,2,0,1,1,2,645912.00,2,135982.00,83,2253.00,362,282.00,6022,50.00,10992,25.00,111643,10.00
4146,2026-01-08,3,14,15,17,25,27,31,,4,2,5,1,1,3,2,0,0,1,2923900.00,8,45197.00,166,1498.00,471,288.00,8693,50.00,11383,25.00,153853,10.00
4145,2026-01-05,5,20,35,39,40,49,27,"20,39",2,4,4,2,1,1,0,3,1,0,0.00,1,253986.00,66,2646.00,173,551.00,4567,50.00,5737,25.00,86036,10.00
4144,2026-01-02,11,18,20,32,38,39,34,,3,3,2,4,0,3,0,3,0,3,2653368.00,17,98578.00,717,1337.00,1471,356.00,30529,50.00,39692,25.00,545195,10.00
4143,2025-12-29,2,4,22,24,30,33,49,,4,2,1,5,2,0,3,1,0,0,0.00,0,0.00,138,1403.00,202,523.00,6934,50.00,6472,25.00,115097,10.00
4142,2025-12-25,3,8,15,28,37,43,49,,3,3,4,2,2,1,1,1,1,1,5573082.00,7,79770.00,264,1455.00,554,378.00,13045,50.00,15282,25.00,236888,10.00
4141,2025-12-22,4,5,13,22,24,30,36,30,5,1,2,4,2,1,3,0,0,0,0.00,1,358749.00,201,1228.00,320,421.00,9193,50.00,9437,25.00,161082,10.00
4140,2025-12-18,2,14,15,30,31,43,27,,3,3,3,3,1,2,1,1,1,0,0.00,2,128074.00,65,2710.00,209,460.00,4577,50.00,6628,25.00,89975,10.00
4139,2025-12-15,17,21,22,35,37,42,9,,3,3,4,2,0,1,2,2,1,1,1231419.00,3,86416.00,89,2003.00,213,457.00,5169,50.00,6908,25.00,93721,10.00
